,pic_data,answers
369,"[101, 255, 255, 209, 113, 68, 113, 255, 113, 119, 255, 255, 255, 255, 255, 209, 17, 17, 62, 255, 255, 255, 255, 255, 255, 255, 59, 255, 17, 62, 62, 255, 255, 255, 255, 255, 255, 255, 255, 255, 209, 255, 255, 255, 255, 255, 255, 255, 255, 255, 132, 255, 209, 158, 107, 209, 255, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 158, 255, 255, 255, 255, 95, 255, 255, 255, 17, 17, 17, 68, 255, 255, 255, 255, 255, 110, 255, 255, 255, 17, 17, 62, 255, 255, 255, 255, 158, 255, 255, 255, 255, 62, 17, 17, 209, 255, 255, 255, 164, 255, 255, 255, 255, 17, 17, 17, 209, 255, 255, 255, 204, 255, 255, 255, 255, 158, 17, 17, 113, 255, 255, 255, 255, 255, 255, 255, 255, 204, 17, 17, 113, 255, 255, 255, 255, 51, 255, 255, 255, 255, 17, 17, 17, 255, 255, 255, 255, 255, 255, 255, 255, 255, 68, 17, 68, 255, 255, 255, 255, 255, 255, 255, 255, 255, 62, 17, 17, 209, 255, 255, 255, 255, 255, 255, 255, 255, 158, 113, 209, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 135, 255, 255, 255, 255, 255, 107, 255, 255, 255, 255, 255, 122, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 93, 255, 255, 255, 255, 255, 255, 255, 173, 255, 255, 96, 255, 255, 107, 255, 255, 255, 255, 255, 255, 255, 255, 255, 44, 255, 255, 255, 255]",18
370,"[255, 255, 255, 255, 255, 209, 113, 158, 204, 255, 255, 255, 255, 255, 255, 204, 68, 17, 17, 17, 17, 62, 209, 255, 255, 255, 255, 62, 17, 17, 17, 62, 17, 17, 17, 255, 255, 255, 209, 17, 17, 17, 255, 255, 164, 17, 17, 113, 255, 255, 113, 17, 17, 209, 255, 255, 255, 68, 17, 113, 255, 255, 255, 17, 17, 158, 255, 255, 209, 17, 17, 158, 255, 255, 255, 17, 17, 17, 113, 158, 17, 17, 17, 255, 255, 255, 255, 158, 68, 17, 17, 17, 17, 113, 255, 255, 255, 255, 107, 17, 17, 17, 17, 62, 17, 68, 204, 255, 255, 204, 17, 17, 68, 255, 255, 209, 68, 17, 113, 172, 255, 113, 17, 17, 158, 114, 255, 255, 107, 17, 17, 209, 255, 62, 17, 17, 209, 255, 255, 255, 158, 17, 17, 204, 255, 113, 17, 17, 113, 255, 255, 132, 17, 17, 17, 209, 255, 209, 68, 17, 17, 113, 209, 113, 17, 17, 62, 255, 255, 35, 158, 17, 17, 17, 17, 17, 17, 62, 204, 255, 255, 255, 255, 204, 113, 62, 68, 62, 62, 209, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 222, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 126, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255]",8
371,"[255, 255, 90, 255, 255, 209, 62, 68, 255, 255, 255, 74, 255, 255, 255, 255, 255, 17, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 26, 17, 17, 17, 158, 255, 255, 255, 255, 255, 255, 255, 113, 17, 17, 17, 158, 255, 255, 255, 255, 255, 204, 68, 17, 17, 17, 17, 62, 255, 255, 255, 255, 255, 113, 17, 17, 158, 68, 17, 68, 255, 255, 255, 255, 255, 62, 17, 107, 255, 62, 17, 17, 209, 255, 255, 255, 255, 158, 158, 255, 255, 53, 17, 17, 158, 255, 255, 255, 255, 255, 255, 60, 255, 158, 17, 17, 68, 255, 255, 255, 76, 255, 255, 255, 83, 255, 62, 17, 62, 255, 255, 255, 255, 255, 255, 53, 255, 255, 68, 17, 17, 204, 255, 255, 255, 255, 255, 255, 255, 255, 113, 17, 17, 158, 189, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 209, 68, 17, 68, 255, 255, 255, 255, 255, 255, 255, 255, 255, 17, 17, 17, 255, 255, 255, 255, 255, 255, 255, 255, 255, 113, 158, 209, 75, 255, 86, 255, 255, 255, 255, 255, 152, 255, 255, 255, 149, 255, 255, 255, 255, 255, 255, 255, 255, 164, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 170, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255]",1
372,"[255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 198, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 195, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 144, 255, 255, 209, 255, 204, 62, 113, 158, 255, 255, 255, 255, 158, 68, 17, 164, 17, 17, 17, 209, 255, 255, 255, 255, 77, 17, 17, 17, 17, 17, 62, 255, 255, 255, 255, 177, 204, 17, 17, 17, 158, 255, 209, 255, 255, 125, 255, 255, 209, 17, 17, 17, 255, 255, 255, 255, 255, 255, 255, 255, 204, 17, 17, 113, 255, 255, 255, 255, 255, 255, 255, 255, 255, 17, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 255, 68, 17, 17, 255, 255, 255, 255, 255, 255, 255, 255, 255, 17, 17, 17, 255, 255, 255, 255, 255, 255, 255, 86, 255, 68, 17, 68, 255, 255, 255, 255, 255, 255, 255, 255, 255, 62, 17, 17, 209, 255, 255, 255, 255, 255, 255, 255, 255, 113, 62, 113, 209, 255, 255, 255, 255, 255, 111, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 182, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 149, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 60, 255]",27
373,"[255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 113, 62, 113, 255, 255, 255, 255, 255, 255, 255, 255, 113, 17, 17, 62, 255, 255, 255, 255, 255, 144, 255, 209, 17, 17, 17, 68, 255, 255, 255, 255, 255, 255, 255, 17, 17, 17, 17, 62, 255, 255, 11, 255, 255, 255, 62, 17, 62, 68, 17, 113, 255, 255, 255, 255, 255, 113, 17, 17, 209, 17, 17, 62, 255, 255, 255, 255, 204, 17, 17, 158, 204, 17, 17, 113, 255, 255, 255, 209, 62, 17, 113, 255, 209, 17, 17, 113, 255, 255, 255, 62, 17, 68, 209, 255, 204, 17, 17, 158, 255, 255, 158, 17, 17, 62, 158, 158, 158, 17, 17, 113, 209, 255, 158, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 255, 158, 17, 62, 17, 68, 17, 17, 17, 17, 17, 17, 255, 255, 255, 255, 255, 209, 209, 158, 17, 17, 158, 204, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 113, 92, 186, 255, 255, 255, 255, 255, 255, 113, 17, 17, 209, 255, 255, 255, 255, 255, 255, 255, 255, 255, 204, 93, 255, 255, 255, 255, 255, 255, 255, 255, 255, 123, 255, 255, 255, 255, 77, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 174, 255, 255, 255]",4
374,"[255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 177, 255, 255, 255, 255, 255, 255, 255, 255, 59, 209, 113, 255, 255, 255, 255, 255, 255, 255, 182, 255, 204, 158, 62, 255, 255, 255, 255, 255, 255, 255, 255, 17, 17, 107, 209, 255, 255, 255, 255, 255, 255, 255, 204, 17, 17, 158, 255, 113, 62, 17, 158, 255, 255, 255, 209, 17, 17, 11, 255, 209, 17, 17, 62, 209, 255, 255, 204, 17, 17, 209, 255, 255, 158, 17, 17, 62, 255, 255, 47, 17, 17, 36, 65, 255, 255, 113, 17, 17, 113, 255, 158, 17, 17, 209, 255, 204, 255, 84, 68, 17, 17, 158, 158, 17, 62, 204, 255, 164, 255, 255, 209, 68, 17, 68, 113, 17, 62, 219, 255, 204, 255, 255, 255, 158, 17, 17, 17, 17, 68, 255, 255, 255, 255, 255, 255, 255, 113, 17, 17, 17, 62, 255, 51, 51, 255, 255, 255, 255, 177, 107, 17, 17, 113, 255, 255, 134, 255, 255, 66, 255, 255, 255, 113, 209, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 65, 255, 93, 153, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 177, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255]",31
375,"[255, 255, 255, 158, 62, 17, 17, 17, 17, 255, 131, 255, 255, 113, 68, 17, 17, 17, 17, 17, 68, 255, 165, 255, 17, 17, 17, 17, 17, 113, 17, 17, 113, 255, 255, 255, 17, 17, 68, 113, 255, 209, 17, 17, 209, 66, 225, 131, 62, 158, 255, 255, 255, 209, 17, 17, 204, 255, 255, 255, 141, 255, 255, 255, 255, 113, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 255, 158, 17, 62, 255, 255, 255, 255, 188, 255, 255, 255, 255, 158, 17, 62, 255, 212, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 255, 255, 255, 255, 255, 255, 255, 51, 255, 113, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 111, 158, 17, 17, 204, 255, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 158, 255, 255, 255, 255, 255, 255, 255, 255, 209, 17, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 255, 68, 17, 68, 128, 255, 255, 255, 255, 255, 255, 255, 255, 62, 17, 17, 204, 255, 255, 255, 255, 255, 255, 255, 188, 209, 113, 255, 255, 255, 255, 255, 255, 255, 255, 255, 90, 255, 255, 255, 255, 128, 255, 255, 255, 255, 255, 255, 255, 56, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 113, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 186, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 102, 30, 255]",7
376,"[86, 255, 128, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 209, 255, 255, 255, 255, 255, 255, 255, 255, 255, 107, 62, 17, 209, 255, 255, 255, 255, 255, 134, 255, 255, 164, 17, 17, 113, 255, 255, 255, 255, 255, 209, 255, 255, 209, 68, 17, 68, 255, 255, 255, 158, 62, 68, 158, 255, 255, 62, 17, 62, 255, 255, 56, 62, 17, 62, 255, 255, 57, 113, 17, 17, 158, 171, 107, 17, 17, 209, 255, 255, 255, 204, 17, 17, 113, 209, 68, 17, 113, 255, 255, 255, 255, 255, 17, 17, 17, 158, 17, 17, 158, 255, 255, 255, 255, 255, 113, 17, 17, 17, 17, 17, 17, 158, 255, 158, 255, 255, 158, 17, 17, 17, 17, 17, 17, 17, 158, 255, 255, 255, 255, 62, 17, 17, 113, 158, 17, 17, 17, 158, 32, 255, 255, 68, 17, 17, 204, 255, 158, 17, 17, 17, 255, 255, 255, 17, 17, 17, 164, 59, 255, 158, 17, 17, 255, 255, 255, 209, 17, 17, 62, 255, 255, 255, 158, 113, 255, 255, 255, 255, 68, 17, 68, 255, 255, 255, 255, 255, 255, 255, 255, 255, 158, 209, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 44, 255, 255, 255, 255, 255, 255, 255, 255, 111, 68, 255, 255, 255, 255, 255, 255, 75, 255, 255, 255, 255, 255, 255, 255, 255, 255, 176, 255, 255, 255, 143, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255]",20
377,"[212, 255, 255, 255, 255, 255, 113, 113, 204, 255, 255, 255, 255, 255, 255, 255, 255, 113, 17, 17, 209, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 17, 158, 255, 209, 113, 255, 255, 255, 158, 17, 17, 17, 17, 62, 255, 255, 62, 255, 255, 62, 17, 17, 68, 17, 17, 113, 255, 255, 209, 255, 255, 68, 17, 68, 204, 17, 17, 158, 255, 255, 255, 255, 255, 17, 158, 255, 209, 17, 17, 62, 255, 38, 255, 255, 92, 255, 255, 255, 209, 17, 17, 62, 255, 255, 255, 255, 255, 255, 35, 255, 255, 17, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 255, 68, 17, 68, 255, 255, 255, 255, 255, 255, 255, 255, 255, 17, 17, 17, 255, 255, 255, 255, 255, 255, 255, 255, 255, 68, 17, 68, 255, 255, 255, 113, 255, 255, 255, 255, 255, 62, 17, 17, 255, 255, 255, 17, 113, 255, 255, 255, 161, 113, 17, 68, 209, 255, 255, 158, 255, 255, 255, 255, 255, 62, 17, 17, 209, 255, 255, 255, 255, 255, 255, 255, 255, 158, 113, 164, 255, 255, 76, 255, 255, 255, 255, 69, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 123, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 137, 255, 255, 255, 255, 255]",1
378,"[255, 255, 255, 158, 62, 17, 17, 17, 17, 255, 255, 255, 255, 113, 68, 17, 17, 17, 17, 17, 68, 255, 255, 156, 17, 17, 17, 17, 17, 113, 17, 17, 113, 255, 255, 255, 17, 17, 68, 47, 255, 209, 68, 17, 128, 255, 255, 255, 62, 158, 255, 255, 255, 209, 17, 17, 204, 255, 255, 255, 255, 255, 255, 188, 255, 113, 17, 62, 255, 255, 153, 255, 255, 255, 255, 255, 255, 158, 17, 62, 255, 255, 255, 255, 255, 255, 189, 255, 255, 158, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 255, 158, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 255, 113, 17, 17, 161, 255, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 204, 255, 140, 255, 255, 255, 255, 255, 144, 158, 17, 17, 164, 255, 255, 255, 255, 255, 255, 255, 255, 209, 17, 17, 17, 255, 255, 255, 38, 255, 255, 255, 255, 255, 68, 17, 68, 255, 255, 255, 255, 255, 255, 255, 255, 255, 17, 17, 17, 209, 255, 255, 255, 255, 255, 255, 255, 255, 209, 113, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 113, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 167, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 87, 255, 255, 255, 255, 255, 255, 255, 107, 255, 255]",7
379,"[255, 255, 255, 255, 255, 209, 204, 17, 255, 255, 255, 158, 255, 255, 255, 255, 209, 17, 17, 68, 255, 255, 255, 255, 255, 255, 255, 255, 204, 17, 17, 68, 255, 255, 255, 255, 255, 255, 255, 255, 62, 17, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 207, 68, 17, 68, 255, 98, 164, 255, 255, 255, 255, 255, 255, 62, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 107, 62, 17, 62, 255, 255, 95, 149, 255, 255, 126, 255, 255, 62, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 255, 62, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 255, 62, 17, 62, 255, 182, 255, 255, 255, 255, 255, 255, 255, 62, 17, 62, 53, 255, 255, 255, 255, 255, 255, 255, 255, 62, 17, 17, 98, 255, 255, 255, 255, 255, 255, 255, 158, 68, 17, 17, 204, 255, 255, 255, 255, 255, 255, 255, 255, 113, 17, 17, 209, 255, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 204, 255, 255, 255, 255, 255, 255, 255, 207, 47, 113, 17, 209, 255, 119, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 123, 255, 255, 255, 255, 255, 255, 255, 255, 255, 72, 255, 107, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 249, 255, 255]",21
380,"[255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 68, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 152, 255, 255, 255, 255, 255, 255, 255, 83, 255, 255, 255, 255, 255, 255, 255, 255, 255, 53, 255, 53, 56, 255, 255, 209, 204, 255, 255, 255, 255, 255, 255, 255, 255, 113, 68, 17, 17, 62, 209, 255, 209, 255, 255, 255, 62, 17, 17, 17, 17, 17, 17, 158, 17, 62, 255, 158, 17, 17, 17, 158, 209, 113, 17, 62, 17, 17, 255, 68, 17, 17, 158, 255, 147, 183, 113, 17, 17, 17, 255, 17, 17, 62, 255, 255, 171, 255, 209, 17, 17, 17, 204, 17, 17, 68, 75, 255, 255, 255, 204, 17, 17, 17, 209, 17, 17, 62, 255, 255, 255, 96, 164, 17, 17, 62, 209, 68, 17, 62, 255, 255, 255, 255, 62, 17, 17, 158, 102, 62, 17, 17, 158, 255, 255, 113, 17, 17, 68, 209, 255, 204, 17, 17, 17, 62, 17, 17, 17, 17, 17, 255, 255, 255, 209, 62, 17, 17, 68, 113, 17, 17, 113, 255, 255, 255, 255, 255, 204, 209, 255, 158, 17, 17, 107, 255, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 164, 255, 255, 255, 255, 255, 255, 255, 255, 68, 17, 17, 204, 255, 255, 255, 96, 255, 255, 255, 255, 62, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 255, 113, 17, 68, 255, 255]",26
381,"[255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 239, 255, 207, 255, 255, 255, 255, 255, 255, 255, 255, 111, 102, 144, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 158, 62, 62, 255, 255, 255, 255, 255, 255, 255, 255, 62, 17, 17, 17, 255, 255, 255, 113, 68, 62, 62, 113, 17, 17, 113, 17, 107, 209, 17, 17, 17, 17, 17, 17, 17, 255, 255, 113, 68, 113, 68, 113, 62, 17, 17, 17, 209, 255, 255, 209, 17, 17, 158, 255, 255, 113, 17, 17, 158, 255, 255, 255, 17, 62, 255, 255, 255, 158, 17, 17, 113, 255, 255, 255, 17, 62, 204, 255, 255, 255, 17, 17, 17, 255, 255, 255, 17, 17, 98, 255, 255, 255, 62, 17, 17, 147, 255, 255, 17, 17, 26, 255, 255, 255, 113, 17, 17, 113, 255, 255, 68, 17, 68, 255, 255, 255, 255, 17, 17, 62, 255, 255, 17, 17, 17, 209, 255, 255, 255, 62, 17, 62, 204, 255, 164, 17, 17, 113, 185, 255, 68, 158, 209, 209, 255, 255, 209, 68, 17, 68, 255, 255, 255, 255, 255, 93, 255, 255, 255, 113, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 120, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 120, 255, 15, 255, 255, 255, 255, 255]",22
382,"[255, 126, 255, 255, 255, 255, 255, 255, 83, 255, 255, 255, 255, 255, 255, 255, 197, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 188, 255, 255, 255, 255, 164, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 17, 113, 255, 255, 204, 158, 204, 255, 255, 255, 255, 255, 17, 17, 209, 62, 17, 17, 17, 62, 209, 113, 158, 204, 17, 17, 17, 17, 17, 62, 17, 17, 62, 68, 17, 62, 17, 17, 17, 17, 113, 209, 255, 158, 17, 17, 17, 62, 17, 17, 17, 62, 209, 255, 255, 255, 107, 17, 17, 32, 113, 17, 17, 62, 255, 53, 255, 255, 158, 17, 17, 113, 113, 17, 17, 62, 255, 255, 255, 123, 17, 17, 17, 158, 77, 17, 17, 17, 255, 255, 255, 167, 113, 17, 17, 204, 204, 17, 17, 17, 158, 255, 255, 255, 17, 17, 17, 68, 255, 62, 17, 17, 113, 204, 209, 62, 17, 17, 68, 255, 255, 209, 17, 17, 17, 17, 17, 62, 17, 17, 62, 255, 255, 255, 209, 62, 68, 62, 113, 158, 17, 17, 113, 255, 255, 255, 255, 255, 47, 255, 255, 158, 17, 17, 113, 255, 255, 0, 255, 255, 255, 255, 255, 158, 17, 17, 209, 255, 255, 134, 255, 255, 255, 255, 255, 68, 17, 17, 204, 255, 255, 255, 255, 255, 255, 255, 255, 17, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 255, 158, 113, 17, 255, 255]",26
383,"[255, 255, 255, 255, 98, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 80, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 209, 113, 62, 68, 158, 122, 255, 255, 255, 255, 255, 158, 68, 17, 17, 17, 17, 17, 209, 255, 255, 255, 158, 17, 17, 17, 17, 68, 11, 17, 17, 209, 255, 255, 62, 17, 17, 113, 255, 255, 255, 62, 17, 62, 255, 209, 17, 17, 17, 158, 255, 255, 255, 38, 17, 17, 255, 113, 17, 17, 68, 17, 68, 113, 255, 17, 17, 62, 255, 68, 17, 17, 158, 113, 17, 17, 17, 62, 17, 62, 255, 62, 17, 17, 255, 255, 255, 158, 113, 17, 17, 17, 255, 47, 17, 17, 158, 255, 255, 255, 255, 209, 62, 158, 255, 209, 68, 17, 68, 158, 209, 62, 113, 209, 255, 255, 255, 255, 158, 62, 17, 17, 17, 17, 17, 62, 204, 255, 255, 126, 255, 209, 113, 17, 17, 62, 113, 158, 255, 255, 255, 255, 255, 255, 255, 255, 204, 32, 255, 56, 102, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 68, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 93, 255, 255]",14
384,"[255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 170, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 147, 255, 255, 255, 204, 255, 255, 255, 255, 113, 68, 62, 158, 255, 255, 255, 113, 255, 255, 209, 62, 17, 17, 17, 17, 68, 209, 62, 17, 255, 255, 17, 17, 17, 62, 62, 62, 17, 113, 113, 17, 135, 113, 17, 17, 68, 209, 255, 255, 113, 17, 68, 17, 209, 62, 17, 17, 158, 255, 255, 255, 81, 62, 17, 17, 158, 17, 17, 62, 255, 255, 255, 255, 255, 17, 17, 17, 107, 17, 17, 158, 255, 255, 255, 255, 158, 17, 17, 17, 113, 17, 17, 158, 255, 255, 255, 255, 113, 17, 17, 113, 158, 17, 17, 113, 255, 255, 255, 209, 17, 17, 17, 255, 255, 62, 17, 17, 158, 204, 164, 62, 17, 17, 113, 255, 255, 17, 17, 17, 17, 17, 17, 17, 17, 17, 158, 255, 255, 255, 255, 113, 113, 113, 158, 62, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 158, 62, 17, 158, 255, 255, 255, 255, 255, 15, 153, 255, 255, 255, 53, 255, 255, 255, 255, 255, 255, 255, 117, 255, 255, 255, 255, 168, 255, 255, 255, 74, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 107, 255, 255]",13
385,"[255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 62, 41, 156, 255, 255, 188, 255, 255, 255, 255, 255, 255, 17, 17, 47, 255, 255, 255, 255, 141, 255, 255, 255, 255, 17, 17, 107, 255, 255, 255, 255, 209, 113, 68, 62, 255, 17, 17, 164, 113, 255, 255, 255, 68, 17, 17, 209, 255, 17, 17, 17, 17, 62, 255, 204, 62, 17, 62, 255, 255, 17, 17, 17, 17, 17, 113, 113, 17, 17, 158, 255, 255, 62, 194, 158, 62, 17, 17, 17, 17, 17, 153, 255, 255, 164, 255, 255, 209, 68, 17, 17, 17, 158, 255, 255, 255, 95, 167, 255, 255, 204, 62, 17, 17, 17, 209, 255, 108, 255, 255, 255, 255, 164, 17, 17, 17, 17, 62, 209, 255, 255, 255, 255, 255, 62, 17, 17, 68, 17, 17, 17, 209, 255, 255, 255, 158, 17, 17, 113, 126, 68, 17, 17, 62, 255, 255, 255, 113, 17, 17, 158, 131, 11, 62, 17, 17, 255, 35, 131, 17, 17, 62, 255, 255, 255, 255, 209, 209, 255, 255, 113, 17, 113, 209, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 78, 255, 255, 255, 255, 255, 197, 255, 255, 255, 255, 255, 255, 255, 255, 255, 209, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 59, 255, 255, 255, 255, 255, 255, 255, 255, 255]",33
386,"[255, 255, 255, 255, 255, 255, 255, 255, 255, 86, 23, 255, 255, 255, 255, 47, 255, 255, 255, 255, 209, 11, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 62, 17, 17, 158, 255, 159, 255, 255, 255, 255, 255, 255, 113, 17, 68, 209, 255, 255, 255, 255, 255, 255, 255, 255, 255, 158, 107, 255, 255, 255, 255, 255, 255, 255, 255, 113, 164, 255, 255, 255, 255, 255, 255, 255, 255, 255, 204, 62, 17, 68, 255, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 113, 255, 255, 255, 255, 255, 255, 255, 135, 17, 17, 17, 209, 255, 255, 255, 255, 255, 255, 255, 204, 17, 17, 68, 255, 255, 255, 255, 255, 255, 255, 255, 113, 17, 17, 113, 255, 255, 255, 255, 255, 255, 255, 255, 62, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 113, 255, 255, 255, 255, 209, 255, 255, 255, 68, 17, 17, 204, 255, 255, 255, 255, 17, 255, 255, 209, 17, 17, 17, 255, 255, 98, 255, 255, 255, 255, 255, 113, 17, 17, 158, 255, 255, 255, 255, 255, 209, 17, 158, 62, 17, 17, 204, 255, 255, 255, 255, 113, 113, 17, 17, 17, 17, 17, 255, 255, 255, 255, 255, 17, 17, 17, 17, 17, 17, 209, 255, 255, 255, 90, 209, 113, 255, 113, 68, 62, 209, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255]",19
